id,product_id,week_number,price,week_date
011420308-3,11420308,5,9.8,09-16/03/2026
011430001-3,11430001,5,19.22,09-16/03/2026
011510203-3,11510203,5,30.42,09-16/03/2026
011510204-3,11510204,5,24.41,09-16/03/2026
011520101-3,11520101,5,21.33,09-16/03/2026
011800105-3,11800105,5,29.63,09-16/03/2026
011800202-3,11800202,5,26.19,09-16/03/2026
011930206-3,11930206,5,23.22,09-16/03/2026
011100604-3,11100604,5,10.57,09-16/03/2026
011101301-3,11101301,5,11,09-16/03/2026
011740201-3,11740201,5,7.62,09-16/03/2026
011740302-3,11740302,5,8.69,09-16/03/2026
011210107-3,11210107,5,96.67,09-16/03/2026
011210203-3,11210203,5,61,09-16/03/2026
011420105-3,11420105,5,19.92,09-16/03/2026
011101101-3,11101101,5,5.11,09-16/03/2026
011620302-3,11620302,5,24.57,09-16/03/2026
011620303-3,11620303,5,15.17,09-16/03/2026
